2026-02-21 02:38:33,969 | INFO | Création utilisateur : lory@bmi.bj | rôle=ingenieur_maintenance
2026-02-21 02:50:16,582 | INFO | Création utilisateur : norbe@bmi.bj | rôle=operateur_fanuc
2026-02-21 23:14:19 | INFO     | CONNEXION_REUSSIE | user=kofi@bmi.bj ip=127.0.0.1 role=operateur_fanuc
2026-02-22 13:44:19 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=3/5
2026-02-22 13:44:21 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=4/5
2026-02-22 13:44:23 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=5/5
2026-02-22 13:48:39 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=192.168.100.54 nb=3/5
2026-02-22 13:48:40 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=192.168.100.54 nb=4/5
2026-02-22 13:48:43 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=192.168.100.54 nb=5/5
2026-02-22 21:58:43 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=3/5
2026-02-22 21:58:44 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=4/5
2026-02-22 21:59:19 | INFO     | CONNEXION_REUSSIE | user=kofi@bmi.bj ip=127.0.0.1 role=operateur_fanuc
2026-02-23 01:10:33 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=3/5
2026-02-23 01:10:35 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=4/5
2026-02-23 01:10:36 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=5/5
2026-02-23 01:19:52 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=3/5
2026-02-23 01:19:53 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=4/5
2026-02-23 01:19:54 | WARNING  | TENTATIVES_MULTIPLES | user=auditeur@bmi.bj ip=127.0.0.1 nb=5/5
2026-02-23 13:33:52 | INFO     | CONNEXION_REUSSIE | user=kofi@bmi.bj ip=127.0.0.1 role=operateur_fanuc
2026-02-23 13:42:42 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=3/5
2026-02-23 13:43:11 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=4/5
2026-02-23 13:43:13 | WARNING  | TENTATIVES_MULTIPLES | user=kofi@bmi.bj ip=127.0.0.1 nb=5/5
2026-02-23 13:52:53 | INFO     | CONNEXION_REUSSIE | user=kofi@bmi.bj ip=127.0.0.1 role=operateur_fanuc
2026-02-23 13:59:15 | INFO     | CONNEXION_REUSSIE | user=kofi@bmi.bj ip=192.168.100.159 role=operateur_fanuc
